_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
87,4828,1119,"finerayed pigtoe, finerayed pigtoe, finerayed pigtoe pearlymussel, finerayed pigtoe pearly mussel",Fusconaia,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
88,4828,1130,"finerayed pigtoe, finerayed pigtoe, finerayed pigtoe pearlymussel, finerayed pigtoe pearly mussel",Fusconaia,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
89,4828,1378,"finerayed pigtoe, finerayed pigtoe, finerayed pigtoe pearlymussel, finerayed pigtoe pearly mussel",Fusconaia,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
90,4828,1379,"finerayed pigtoe, finerayed pigtoe, finerayed pigtoe pearlymussel, finerayed pigtoe pearly mussel",Fusconaia,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
91,4829,689,narrow pigtoe,Fusconaia,Unionidae,oyster mussel ,Epioblasma ,Unionidae
92,4829,690,narrow pigtoe,Fusconaia,Unionidae,oyster mussel ,Epioblasma ,Unionidae
93,4829,691,narrow pigtoe,Fusconaia,Unionidae,oyster mussel ,Epioblasma ,Unionidae
94,4829,1119,narrow pigtoe,Fusconaia,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
95,4829,1130,narrow pigtoe,Fusconaia,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
96,4829,1378,narrow pigtoe,Fusconaia,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
97,4829,1379,narrow pigtoe,Fusconaia,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
98,4830,689,atlantic pigtoe,Fusconaia,Unionidae,oyster mussel ,Epioblasma ,Unionidae
99,4830,690,atlantic pigtoe,Fusconaia,Unionidae,oyster mussel ,Epioblasma ,Unionidae
100,4830,691,atlantic pigtoe,Fusconaia,Unionidae,oyster mussel ,Epioblasma ,Unionidae
101,4830,1119,atlantic pigtoe,Fusconaia,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
102,4830,1130,atlantic pigtoe,Fusconaia,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
103,4830,1378,atlantic pigtoe,Fusconaia,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
104,4830,1379,atlantic pigtoe,Fusconaia,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
105,4875,689,fat threeridge,Amblema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
106,4875,690,fat threeridge,Amblema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
107,4875,691,fat threeridge,Amblema,Unionidae,oyster mussel ,Epioblasma ,Unionidae
108,4875,1119,fat threeridge,Amblema,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
109,4875,1130,fat threeridge,Amblema,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
110,4875,1378,fat threeridge,Amblema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
111,4875,1379,fat threeridge,Amblema,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
112,4893,689,speckled pocketbook,Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
113,4893,690,speckled pocketbook,Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
114,4893,691,speckled pocketbook,Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
115,4893,1119,speckled pocketbook,Lampsilis,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
116,4893,1130,speckled pocketbook,Lampsilis,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
117,4893,1378,speckled pocketbook,Lampsilis,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
118,4893,1379,speckled pocketbook,Lampsilis,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
119,4894,689,"alabama lampmussel, alabama lamp naiad, alabama lamp pearly mussel",Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
120,4894,690,"alabama lampmussel, alabama lamp naiad, alabama lamp pearly mussel",Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
121,4894,691,"alabama lampmussel, alabama lamp naiad, alabama lamp pearly mussel",Lampsilis,Unionidae,oyster mussel ,Epioblasma ,Unionidae
122,4894,1119,"alabama lampmussel, alabama lamp naiad, alabama lamp pearly mussel",Lampsilis,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
123,4894,1130,"alabama lampmussel, alabama lamp naiad, alabama lamp pearly mussel",Lampsilis,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
124,4894,1378,"alabama lampmussel, alabama lamp naiad, alabama lamp pearly mussel",Lampsilis,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
125,4894,1379,"alabama lampmussel, alabama lamp naiad, alabama lamp pearly mussel",Lampsilis,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
126,4897,689,carolina heelsplitter,Lasmigona,Unionidae,oyster mussel ,Epioblasma ,Unionidae
127,4897,690,carolina heelsplitter,Lasmigona,Unionidae,oyster mussel ,Epioblasma ,Unionidae
128,4897,691,carolina heelsplitter,Lasmigona,Unionidae,oyster mussel ,Epioblasma ,Unionidae
129,4897,1119,carolina heelsplitter,Lasmigona,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
130,4897,1130,carolina heelsplitter,Lasmigona,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
131,4897,1378,carolina heelsplitter,Lasmigona,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
132,4897,1379,carolina heelsplitter,Lasmigona,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
133,4928,689,gulf moccasinshell,Medionidus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
134,4928,690,gulf moccasinshell,Medionidus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
135,4928,691,gulf moccasinshell,Medionidus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
136,4928,1119,gulf moccasinshell,Medionidus,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
137,4928,1130,gulf moccasinshell,Medionidus,Unionidae,cumberland bean pearly mussel ,Villosa ,Unionidae
138,4928,1378,gulf moccasinshell,Medionidus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
139,4928,1379,gulf moccasinshell,Medionidus,Unionidae,orangefoot pimpleback ,Plethobasus ,Unionidae
140,4929,689,ochlockonee moccasinshell,Medionidus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
141,4929,690,ochlockonee moccasinshell,Medionidus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
142,4929,691,ochlockonee moccasinshell,Medionidus,Unionidae,oyster mussel ,Epioblasma ,Unionidae
143,4929,1119,ochlockonee moccasinshell,Medionidus,Unionidae,clubshell pearly mussel ,Pleurobema ,Unionidae
