_id,ltable_id,rtable_id,ltable_name,ltable_genus,ltable_family,rtable_name,rtable_genus,rtable_family
54,763,121,white seed sago,Cycas,Cycadaceae,common pitogo; queen sago; cycad ,Cycas ,Cycadaceae
55,763,122,white seed sago,Cycas,Cycadaceae,common pitogo; queen sago; cycad ,Cycas ,Cycadaceae
56,843,625,striped catfish,Pangasianodon,Pangasiidae,mekong giant catfish; giant catfish ,Pangasianodon ,Pangasiidae
57,860,218,"mitred leaf monkey, sumatran surili",Presbytis,Cercopithecidae,java leaf monkey; javan grizzled langur; javan surili; grizzled leaf monkey ,Presbytis ,Cercopithecidae
58,860,310,"mitred leaf monkey, sumatran surili",Presbytis,Cercopithecidae,sumatran surili; mitred leaf monkey ,Presbytis ,Cercopithecidae
59,861,218,"goldenbellied mentawai island langur, longtailed langur, mentawai langur, mentawai leaf monkey",Presbytis,Cercopithecidae,java leaf monkey; javan grizzled langur; javan surili; grizzled leaf monkey ,Presbytis ,Cercopithecidae
60,861,310,"goldenbellied mentawai island langur, longtailed langur, mentawai langur, mentawai leaf monkey",Presbytis,Cercopithecidae,sumatran surili; mitred leaf monkey ,Presbytis ,Cercopithecidae
61,863,304,mexican blindcat,Prietella,Ictaluridae,bagre de muzquiz; mexican blindcat ,Prietella ,Ictaluridae
62,946,402,carp,Barbus,Cyprinidae,clanwilliam sawfin; sawfin ,Barbus ,Cyprinidae
63,964,107,"deckens sifaka, van der deckens sifaka",Propithecus,Indriidae,propithecus verreauxi coquereli; coquerels sifaka ,Propithecus ,Indriidae
64,964,111,"deckens sifaka, van der deckens sifaka",Propithecus,Indriidae,propithecus verreauxi coronatus; crowned sifaka ,Propithecus ,Indriidae
65,964,131,"deckens sifaka, van der deckens sifaka",Propithecus,Indriidae,propithque  diadme; diademed sifaka ,Propithecus ,Indriidae
66,964,195,"deckens sifaka, van der deckens sifaka",Propithecus,Indriidae,tattersalls sifaka; goldencrowned sifaka ,Propithecus ,Indriidae
67,964,308,"deckens sifaka, van der deckens sifaka",Propithecus,Indriidae,propithecus diadema edwardsi; propithecus holomelas; milneedwards sifaka ,Propithecus ,Indriidae
68,964,715,"deckens sifaka, van der deckens sifaka",Propithecus,Indriidae,propithecus diadema perrieri; perriers sifaka ,Propithecus ,Indriidae
69,964,758,"deckens sifaka, van der deckens sifaka",Propithecus,Indriidae,propithecus diadema candidus; silky sifaka ,Propithecus ,Indriidae
70,1036,270,banks flying fox,Pteropus,Pteropodidae,comoro black fruit bat; livingstones bat; livingstones flying fox ,Pteropus ,Pteropodidae
71,1036,298,banks flying fox,Pteropus,Pteropodidae,greater mascarene flying fox; mauritan flying fox; mauritius fruit bat; mauritian flying fox ,Pteropus ,Pteropodidae
72,1036,299,banks flying fox,Pteropus,Pteropodidae,greater mascarene flying fox; mauritan flying fox; mauritius fruit bat; mauritian flying fox ,Pteropus ,Pteropodidae
73,1036,743,banks flying fox,Pteropus,Pteropodidae,rodrigues fruit bat; rodrigues flying fox ,Pteropus ,Pteropodidae
74,1037,270,blackbearded flying fox,Pteropus,Pteropodidae,comoro black fruit bat; livingstones bat; livingstones flying fox ,Pteropus ,Pteropodidae
75,1037,298,blackbearded flying fox,Pteropus,Pteropodidae,greater mascarene flying fox; mauritan flying fox; mauritius fruit bat; mauritian flying fox ,Pteropus ,Pteropodidae
76,1037,299,blackbearded flying fox,Pteropus,Pteropodidae,greater mascarene flying fox; mauritan flying fox; mauritius fruit bat; mauritian flying fox ,Pteropus ,Pteropodidae
77,1037,743,blackbearded flying fox,Pteropus,Pteropodidae,rodrigues fruit bat; rodrigues flying fox ,Pteropus ,Pteropodidae
78,1038,270,temotu flying fox,Pteropus,Pteropodidae,comoro black fruit bat; livingstones bat; livingstones flying fox ,Pteropus ,Pteropodidae
79,1038,298,temotu flying fox,Pteropus,Pteropodidae,greater mascarene flying fox; mauritan flying fox; mauritius fruit bat; mauritian flying fox ,Pteropus ,Pteropodidae
80,1038,299,temotu flying fox,Pteropus,Pteropodidae,greater mascarene flying fox; mauritan flying fox; mauritius fruit bat; mauritian flying fox ,Pteropus ,Pteropodidae
81,1038,743,temotu flying fox,Pteropus,Pteropodidae,rodrigues fruit bat; rodrigues flying fox ,Pteropus ,Pteropodidae
82,1060,328,ceyhan spined loach,Cobitis,Cobitidae,lamprehuela; verdem do norte; northern iberian spinedloach ,Cobitis ,Cobitidae
83,1061,328,phrygian spined loach,Cobitis,Cobitidae,lamprehuela; verdem do norte; northern iberian spinedloach ,Cobitis ,Cobitidae
84,1062,419,eber gudgeon,Gobio,Cyprinidae,gobio gobio skadarensis; skadar gudgeon ,Gobio ,Cyprinidae
85,1067,364,pyrenean frog,Rana,Ranidae,pyrenees frog; pyrenean frog ,Rana ,Ranidae
86,1067,365,pyrenean frog,Rana,Ranidae,pyrenees frog; pyrenean frog ,Rana ,Ranidae
87,1075,291,"mang mountain pit viper, mangshan pit viper, mt mang pit viper",Protobothrops,Viperidae,chinese pit viper; ironhead pitviper; mang mountain pit viper; mangshan pitviper; mt mang pit viper; mangshan pit viper ,Protobothrops ,Viperidae
88,1080,409,semirechensk salamander,Ranodon,Hynobiidae,central asian salamander; siberian salamander; semirechensk salamander ,Ranodon ,Hynobiidae
89,1085,291,trungkhanh pit viper,Protobothrops,Viperidae,chinese pit viper; ironhead pitviper; mang mountain pit viper; mangshan pitviper; mt mang pit viper; mangshan pit viper ,Protobothrops ,Viperidae
90,1102,147,chocolate chub,Squalius,Cyprinidae,evrotas dace; european dace ,Squalius ,Cyprinidae
91,1102,461,chocolate chub,Squalius,Cyprinidae,brook chub; toscana stream chub ,Squalius ,Cyprinidae
92,1133,192,"gray snubnosed monkey, grey snubnosed monkey, guizhou snubnosed monkey",Rhinopithecus,Cercopithecidae,sichuan golden snubnosed monkey; golden snubnosed monkey ,Rhinopithecus ,Cercopithecidae
93,1133,193,"gray snubnosed monkey, grey snubnosed monkey, guizhou snubnosed monkey",Rhinopithecus,Cercopithecidae,sichuan golden snubnosed monkey; golden snubnosed monkey ,Rhinopithecus ,Cercopithecidae
94,1133,213,"gray snubnosed monkey, grey snubnosed monkey, guizhou snubnosed monkey",Rhinopithecus,Cercopithecidae,brelichs snubnosed langur; brelichs snubnosed monkey; gray snubnosed monkey; guizhou snubnosed langur; guizhou snubnosed monkey; grey snubnosed monkey ,Rhinopithecus ,Cercopithecidae
